#index RAdeg DECdeg dist V-J specind HIPindex Vmag HIPmag Jmag Hmag Kmag MV B-V HIPV-I V-I Teff SpT Blum HZseparcsec HZcontrast mass FLAG(SUPERBLINK) FLAG(2MASSCNS3) FLAG(CNS3) FLAG(HIPS) FLAG(HIPD) FLAG(RECONS) name
1 351.686462 -87.418388 17.421602 3.030000 7.000000 -100 10.330000 -100.000000 7.300000 6.640000 6.480000 9.124559 -100.000000 -100.000000 1.878769 3786.957520 7.013555 0.063169 0.014427 2.75451e-09 0.571867 1 1 0 0 0 0 PMI_J23267-8725  
6 326.678070 -85.717941 11.614402 4.700000 7.500000 -100 13.540000 -100.000000 8.840000 8.280000 7.990000 13.215015 -100.000000 -100.000000 3.034901 2982.479736 7.446438 0.005202 0.006210 3.34517e-08 0.198206 1 1 0 0 0 0 PMI_J21467-8543  
9 352.659119 -84.921944 16.863407 4.840000 7.500000 -100 14.680000 -100.000000 9.840000 9.310000 8.990000 13.545274 -100.000000 -100.000000 3.098459 2952.950195 7.460500 0.004137 0.003814 4.20629e-08 0.18555 1 1 0 0 0 0 PMI_J23306-8455  
10 261.595428 -84.552254 17.543859 4.800000 7.500000 -100 14.670000 -100.000000 9.870000 9.330000 9.020000 13.449374 -100.000000 -100.000000 3.098459 2952.950195 7.460500 0.004519 0.003832 3.85069e-08 0.18555 1 1 0 0 0 0 PMI_J17263-8433  
13 299.657471 -84.073029 17.761990 2.820000 6.700000 -100 9.920000 -100.000000 7.100000 6.460000 6.290000 8.672542 -100.000000 -100.000000 1.747365 3901.706299 6.858294 0.085316 0.016445 2.03947e-09 0.608341 1 1 0 0 0 0 PMI_J19586-8404  
14 166.992416 -83.856499 17.543859 4.200000 7.400000 -100 13.260000 -100.000000 9.060000 8.450000 8.180000 12.039374 -100.000000 -100.000000 2.725052 3134.616211 7.372692 0.011003 0.005979 1.58139e-08 0.27277 1 1 0 0 0 0 PMI_J11079-8351  
17 332.161011 -83.057915 17.921146 4.150000 7.400000 -100 13.190000 -100.000000 9.040000 8.470000 8.220000 11.923171 -100.000000 -100.000000 2.667689 3165.962402 7.357019 0.011659 0.006025 1.49235e-08 0.291577 1 1 0 0 0 0 PMI_J22086-8303  
22 290.226135 -82.554474 12.048193 4.440000 7.400000 -100 13.000000 -100.000000 8.555000 8.004000 7.686000 12.595390 -100.000000 -100.000000 2.905870 3042.427490 7.417892 0.007902 0.007378 2.2019e-08 0.223897 1 1 0 0 0 0 GJ4102
24 185.140701 -82.432724 8.123477 4.430000 7.400000 -100 12.130000 -100.000000 7.700000 7.140000 6.840000 12.581290 -100.000000 -100.000000 2.840386 3072.851807 7.403404 0.007409 0.010596 2.34838e-08 0.236936 1 1 0 0 0 0 PMI_J12205-8225  
26 266.589539 -82.199059 18.181818 3.790000 7.300000 -100 12.340000 -100.000000 8.550000 7.990000 7.710000 11.041814 -100.000000 -100.000000 2.441320 3294.513184 7.293403 0.021357 0.008038 8.14728e-09 0.367916 1 1 0 0 0 0 PMI_J17463-8211  
30 311.654510 -81.720474 10.559662 4.110000 7.400000 -100 11.800000 -100.000000 7.694000 7.124000 6.826000 11.681750 -100.000000 -100.000000 2.667689 3165.962402 7.357019 0.014563 0.011428 1.19482e-08 0.291577 1 1 0 0 0 0 GJ4154
31 321.364502 -81.641029 16.447369 3.730000 7.300000 -100 11.970000 -100.000000 8.240000 7.560000 7.340000 10.889518 -100.000000 -100.000000 2.441320 3294.513184 7.293403 0.024573 0.009531 7.081e-09 0.367916 1 1 0 0 0 0 PMI_J21254-8138  
39 289.901489 -80.830086 16.077171 2.880000 7.000000 -100 9.830000 -100.000000 6.950000 6.260000 6.070000 8.798952 -100.000000 -100.000000 1.834359 3824.827148 6.970346 0.081825 0.017792 2.12648e-09 0.585931 1 1 0 0 0 0 PMI_J19196-8049  
42 106.288750 -80.497223 15.290520 5.120000 7.500000 -100 15.070000 -100.000000 9.950000 9.320000 9.060000 14.147888 -100.000000 -100.000000 3.296181 2866.104248 7.502292 0.002969 0.003563 5.86122e-08 0.148854 1 1 0 0 0 0 PMI_J07051-8029  
44 169.238785 -80.464500 13.175231 5.350000 7.600000 -100 15.180000 -100.000000 9.830000 9.270000 8.960000 14.581209 -100.000000 -100.000000 3.435897 2837.727051 7.518984 0.002178 0.003542 7.99079e-08 0.140508 1 1 0 0 0 0 PMI_J11169-8027  
46 262.363922 -80.149307 12.515645 4.440000 7.400000 -100 12.530000 -100.000000 8.088000 7.523000 7.299000 12.042733 -100.000000 -100.000000 2.840386 3072.851807 7.403404 0.012168 0.008814 1.43003e-08 0.236936 1 1 0 0 0 0 GJ4004
54 161.911209 -79.462753 13.037809 4.670000 7.500000 -100 13.720000 -100.000000 9.052000 8.485000 8.139000 13.143977 -100.000000 -100.000000 3.034901 2982.479736 7.446438 0.005553 0.005716 3.13331e-08 0.198206 1 1 0 0 0 0 GJ3625
